County,For Sale,Sold Last Year,Sold Last 6 Months,Sold Last 3 Months,Sold Last Month,STR Last Year,STR Last 6 Months,STR Last 3 Months,STR Last Month
Gray,30,8,2,2,1,%26.67,%6.67,%6.67,%3.33
Grayson,710,511,238,142,51,%71.97,%33.52,%20.00,%7.18
Gregg,211,120,64,35,21,%56.87,%30.33,%16.59,%9.95
Grimes,316,266,96,47,19,%84.18,%30.38,%14.87,%6.01
Guadalupe,194,114,57,28,7,%58.76,%29.38,%14.43,%3.61
Hale,60,12,3,2,0,%20.00,%5.00,%3.33,%0.00
Hall,2,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Hamilton,78,22,11,3,1,%28.21,%14.10,%3.85,%1.28
Hansford,3,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Hardeman,0,3,3,3,0,%Infinity,%Infinity,%Infinity,%NaN
Hardin,201,139,44,26,8,%69.15,%21.89,%12.94,%3.98
Harris,2413,1974,906,494,170,%81.81,%37.55,%20.47,%7.05
Harrison,209,126,60,27,9,%60.29,%28.71,%12.92,%4.31
Hartley,4,2,1,0,0,%50.00,%25.00,%0.00,%0.00
Haskell,29,13,8,5,1,%44.83,%27.59,%17.24,%3.45
Hays,352,204,76,37,11,%57.95,%21.59,%10.51,%3.13
Hemphill,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Henderson,806,556,255,122,47,%68.98,%31.64,%15.14,%5.83
Hidalgo,1805,1183,599,317,107,%65.54,%33.19,%17.56,%5.93
Hill,666,372,204,84,21,%55.86,%30.63,%12.61,%3.15
Hockley,156,39,13,6,3,%25.00,%8.33,%3.85,%1.92
Hood,370,353,197,110,35,%95.41,%53.24,%29.73,%9.46
Hopkins,176,115,60,30,11,%65.34,%34.09,%17.05,%6.25
Houston,176,101,47,19,11,%57.39,%26.70,%10.80,%6.25
Howard,32,1,1,1,0,%3.13,%3.13,%3.13,%0.00
Hudspeth,143,22,6,4,2,%15.38,%4.20,%2.80,%1.40
Hunt,540,454,212,114,39,%84.07,%39.26,%21.11,%7.22
Hutchinson,41,35,12,9,1,%85.37,%29.27,%21.95,%2.44
Irion,1,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Jack,65,23,10,7,1,%35.38,%15.38,%10.77,%1.54
Jackson,107,51,18,9,2,%47.66,%16.82,%8.41,%1.87
Jasper,158,90,43,27,9,%56.96,%27.22,%17.09,%5.70
Jeff Davis,37,28,13,4,0,%75.68,%35.14,%10.81,%0.00
Jefferson,487,198,82,53,18,%40.66,%16.84,%10.88,%3.70
Jim Hogg,3,1,0,0,0,%33.33,%0.00,%0.00,%0.00
Jim Wells,147,55,19,12,4,%37.41,%12.93,%8.16,%2.72
Johnson,579,350,174,94,31,%60.45,%30.05,%16.23,%5.35
Jones,92,75,40,18,3,%81.52,%43.48,%19.57,%3.26
Karnes,19,7,2,1,0,%36.84,%10.53,%5.26,%0.00
Kaufman,320,66,117,66,29,%20.63,%36.56,%20.63,%9.06
Kendall,197,108,48,28,12,%54.82,%24.37,%14.21,%6.09
Kent,6,4,1,0,0,%66.67,%16.67,%0.00,%0.00
Kerr,296,123,61,30,10,%41.55,%20.61,%10.14,%3.38
Kimble,59,14,6,5,0,%23.73,%10.17,%8.47,%0.00
King,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Kinney,13,5,1,1,0,%38.46,%7.69,%7.69,%0.00
Kleberg,85,30,13,6,4,%35.29,%15.29,%7.06,%4.71
Knox,3,9,2,1,0,%300.00,%66.67,%33.33,%0.00
Lamar,201,178,81,35,11,%88.56,%40.30,%17.41,%5.47
Lamb,3,0,0,0,0,%0.00,%0.00,%0.00,%0.00
Lampasas,144,30,12,8,3,%20.83,%8.33,%5.56,%2.08
La Salle,8,7,3,2,1,%87.50,%37.50,%25.00,%12.50
Lavaca,110,63,27,13,7,%57.27,%24.55,%11.82,%6.36
Lee,111,48,16,12,10,%43.24,%14.41,%10.81,%9.01
Leon,432,149,67,37,10,%34.49,%15.51,%8.56,%2.31
Liberty,1074,475,219,113,39,%44.23,%20.39,%10.52,%3.63
Limestone,190,122,55,19,6,%64.21,%28.95,%10.00,%3.16
Lipscomb,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Live Oak,69,43,19,11,0,%62.32,%27.54,%15.94,%0.00
Llano,624,306,147,79,24,%49.04,%23.56,%12.66,%3.85
Loving,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Lubbock,300,129,65,41,11,%43.00,%21.67,%13.67,%3.67
Lynn,67,17,10,4,0,%25.37,%14.93,%5.97,%0.00
McCulloch,14,12,7,7,3,%85.71,%50.00,%50.00,%21.43
McLennan,472,328,149,89,34,%69.49,%31.57,%18.86,%7.20
McMullen,0,1,0,0,0,%Infinity,%NaN,%NaN,%NaN
Madison,69,52,25,15,4,%75.36,%36.23,%21.74,%5.80
Marion,84,56,30,14,7,%66.67,%35.71,%16.67,%8.33
Martin,68,8,5,3,1,%11.76,%7.35,%4.41,%1.47
Mason,38,41,15,9,2,%107.89,%39.47,%23.68,%5.26
Matagorda,363,209,64,26,9,%57.58,%17.63,%7.16,%2.48
Maverick,70,37,9,6,4,%52.86,%12.86,%8.57,%5.71
Medina,308,207,99,52,15,%67.21,%32.14,%16.88,%4.87
Menard,7,14,6,0,0,%200.00,%85.71,%0.00,%0.00
Midland,218,34,19,7,0,%15.60,%8.72,%3.21,%0.00
Milam,175,59,34,19,5,%33.71,%19.43,%10.86,%2.86
Mills,26,15,7,4,1,%57.69,%26.92,%15.38,%3.85
Mitchell,25,4,3,2,0,%16.00,%12.00,%8.00,%0.00
Montague,189,118,46,210,6,%62.43,%24.34,%111.11,%3.17
Montgomery,1391,370,585,1391,138,%26.60,%42.06,%100.00,%9.92
Moore,114,17,9,6,4,%14.91,%7.89,%5.26,%3.51
Morris,69,40,26,16,5,%57.97,%37.68,%23.19,%7.25
Motley,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Nacogdoches,195,118,56,30,9,%60.51,%28.72,%15.38,%4.62
Navarro,429,331,146,80,28,%77.16,%34.03,%18.65,%6.53
Newton,61,32,15,8,0,%52.46,%24.59,%13.11,%0.00
Nolan,29,9,5,3,0,%31.03,%17.24,%10.34,%0.00
Nueces,434,286,110,55,20,%65.90,%25.35,%12.67,%4.61
Ochiltree,6,6,1,0,0,%100.00,%16.67,%0.00,%0.00
Oldham,9,2,2,0,0,%22.22,%22.22,%0.00,%0.00
Orange,235,131,59,37,6,%55.74,%25.11,%15.74,%2.55
Palo Pinto,426,204,103,61,21,%47.89,%24.18,%14.32,%4.93
Panola,78,44,12,7,4,%56.41,%15.38,%8.97,%5.13
Parker,761,362,186,110,49,%47.57,%24.44,%14.45,%6.44
Parmer,0,0,0,0,0,%NaN,%NaN,%NaN,%NaN
Pecos,33,1,0,0,0,%3.03,%0.00,%0.00,%0.00
Polk,625,427,218,91,16,%68.32,%34.88,%14.56,%2.56
Potter,169,49,28,15,8,%28.99,%16.57,%8.88,%4.73
Presidio,24,13,6,4,1,%54.17,%25.00,%16.67,%4.17
Rains,109,88,48,35,19,%80.73,%44.04,%32.11,%17.43
Randall,478,156,58,33,13,%32.64,%12.13,%6.90,%2.72
